date,meter_id,total_consumption,avg_consumption,max_consumption,min_consumption,reading_count,avg_temperature,weekend_flag,season
2023-01-01,MTR-001,53.8851,2.2452,8.4039,0.6082,24,5.39,1,Winter
2023-01-01,MTR-002,92.6987,3.8624,6.2909,1.4274,24,5.39,1,Winter
2023-01-01,MTR-003,134.8136,5.6172,8.4932,2.0279,24,5.39,1,Winter
2023-01-01,MTR-004,55.5403,2.3142,3.9388,0.7676,24,5.39,1,Winter
2023-01-01,MTR-005,89.4309,3.7263,6.1643,1.1317,24,5.39,1,Winter
2023-01-01,MTR-006,137.9952,5.7498,9.8251,1.9227,24,5.39,1,Winter
2023-01-01,MTR-007,44.5615,1.8567,3.1476,0.4535,24,5.39,1,Winter
2023-01-01,MTR-008,92.7596,3.865,6.1786,1.3092,24,5.39,1,Winter
2023-01-01,MTR-009,170.4225,7.1009,11.7139,2.26,24,5.39,1,Winter
2023-01-01,MTR-010,47.6722,1.9863,3.2478,0.6358,24,5.39,1,Winter
2023-01-01,MTR-011,82.3361,3.4307,5.3922,1.2425,24,5.39,1,Winter
2023-01-01,MTR-012,138.7526,5.7814,8.965,2.102,24,5.39,1,Winter
2023-01-02,MTR-001,50.3674,2.0986,10.1323,0.209,24,5.17,0,Winter
2023-01-02,MTR-002,130.1824,5.4243,9.4273,1.7393,24,5.17,0,Winter
2023-01-02,MTR-003,192.2293,8.0096,13.17,2.6846,24,5.17,0,Winter
2023-01-02,MTR-004,51.5327,2.1472,3.8083,0.7184,24,5.17,0,Winter
2023-01-02,MTR-005,130.6326,5.443,8.7751,2.04,24,5.17,0,Winter
2023-01-02,MTR-006,192.9292,8.0387,14.1727,2.7265,24,5.17,0,Winter
2023-01-02,MTR-007,43.2379,1.8016,3.0325,0.6378,24,5.17,0,Winter
2023-01-02,MTR-008,128.0501,5.3354,9.204,1.7149,24,5.17,0,Winter
2023-01-02,MTR-009,236.9842,9.8743,15.8017,3.1469,24,5.17,0,Winter
2023-01-02,MTR-010,43.7548,1.8231,2.6679,0.6105,24,5.17,0,Winter
2023-01-02,MTR-011,118.9363,4.9557,9.0686,1.6223,24,5.17,0,Winter
2023-01-02,MTR-012,208.3926,8.683,28.3017,2.6176,24,5.17,0,Winter
2023-01-03,MTR-001,44.592,1.858,3.1553,0.653,24,4.84,0,Winter
2023-01-03,MTR-002,129.1184,5.3799,8.8672,1.9538,24,4.84,0,Winter
2023-01-03,MTR-003,190.7251,7.9469,13.9252,2.9047,24,4.84,0,Winter
2023-01-03,MTR-004,50.8645,2.1194,3.7188,0.707,24,4.84,0,Winter
2023-01-03,MTR-005,138.5748,5.7739,23.2832,0.5142,24,4.84,0,Winter
2023-01-03,MTR-006,196.4255,8.1844,13.9275,2.4207,24,4.84,0,Winter
2023-01-03,MTR-007,43.612,1.8172,3.4018,0.6151,24,4.84,0,Winter
2023-01-03,MTR-008,131.0709,5.4613,9.4189,1.7585,24,4.84,0,Winter
2023-01-03,MTR-009,277.6732,11.5697,48.878,3.3648,24,4.84,0,Winter
2023-01-03,MTR-010,44.4065,1.8503,2.9593,0.6425,24,4.84,0,Winter
2023-01-03,MTR-011,119.039,4.96,8.1736,1.377,24,4.84,0,Winter
2023-01-03,MTR-012,192.8427,8.0351,12.7634,2.74,24,4.84,0,Winter
2023-01-04,MTR-001,44.6787,1.8616,3.1055,0.644,24,4.42,0,Winter
2023-01-04,MTR-002,129.2002,5.3833,8.3997,1.7195,24,4.42,0,Winter
2023-01-04,MTR-003,196.8669,8.2028,13.4128,2.7152,24,4.42,0,Winter
2023-01-04,MTR-004,53.8352,2.2431,3.8949,0.7055,24,4.42,0,Winter
2023-01-04,MTR-005,126.0823,5.2534,8.9016,1.6553,24,4.42,0,Winter
2023-01-04,MTR-006,206.756,8.6148,14.7535,2.7859,24,4.42,0,Winter
2023-01-04,MTR-007,49.312,2.0547,7.0144,0.6223,24,4.42,0,Winter
2023-01-04,MTR-008,129.1899,5.3829,8.9411,1.613,24,4.42,0,Winter
2023-01-04,MTR-009,236.6292,9.8596,15.4656,3.1175,24,4.42,0,Winter
2023-01-04,MTR-010,46.2209,1.9259,3.2045,0.572,24,4.42,0,Winter
2023-01-04,MTR-011,119.4859,4.9786,8.7634,1.8242,24,4.42,0,Winter
2023-01-04,MTR-012,196.4066,8.1836,13.5724,2.4681,24,4.42,0,Winter
2023-01-05,MTR-001,45.2678,1.8862,3.7575,0.6277,24,4.97,0,Winter
2023-01-05,MTR-002,144.4646,6.0194,22.4954,1.8657,24,4.97,0,Winter
2023-01-05,MTR-003,192.2286,8.0095,12.4021,1.6478,24,4.97,0,Winter
2023-01-05,MTR-004,57.649,2.402,9.8407,0.708,24,4.97,0,Winter
2023-01-05,MTR-005,147.3101,6.1379,27.5247,1.7872,24,4.97,0,Winter
2023-01-05,MTR-006,195.6663,8.1528,13.4043,2.5282,24,4.97,0,Winter
2023-01-05,MTR-007,43.1983,1.7999,3.0378,0.6107,24,4.97,0,Winter
2023-01-05,MTR-008,131.059,5.4608,10.2141,1.9181,24,4.97,0,Winter
2023-01-05,MTR-009,239.2555,9.969,16.6456,3.0852,24,4.97,0,Winter
2023-01-05,MTR-010,44.6625,1.8609,3.1232,0.617,24,4.97,0,Winter
2023-01-05,MTR-011,114.8451,4.7852,9.036,0.907,24,4.97,0,Winter
2023-01-05,MTR-012,187.551,7.8146,12.6797,2.6057,24,4.97,0,Winter
2023-01-06,MTR-001,43.5779,1.8157,3.0488,0.1264,24,4.87,0,Winter
2023-01-06,MTR-002,125.2216,5.2176,9.0038,1.5938,24,4.87,0,Winter
2023-01-06,MTR-003,195.2256,8.1344,13.8036,2.6716,24,4.87,0,Winter
2023-01-06,MTR-004,58.623,2.4426,10.4796,0.6647,24,4.87,0,Winter
2023-01-06,MTR-005,131.7245,5.4885,8.9658,1.6602,24,4.87,0,Winter
2023-01-06,MTR-006,199.1326,8.2972,13.0318,2.3149,24,4.87,0,Winter
2023-01-06,MTR-007,44.3301,1.8471,3.1602,0.5751,24,4.87,0,Winter
2023-01-06,MTR-008,134.1173,5.5882,9.6165,1.6271,24,4.87,0,Winter
2023-01-06,MTR-009,243.0319,10.1263,16.1775,3.1028,24,4.87,0,Winter
2023-01-06,MTR-010,43.7119,1.8213,2.9909,0.1071,24,4.87,0,Winter
2023-01-06,MTR-011,117.5253,4.8969,7.6603,1.5127,24,4.87,0,Winter
2023-01-06,MTR-012,194.0475,8.0853,13.5168,2.6516,24,4.87,0,Winter
2023-01-07,MTR-001,54.4268,2.2678,8.4507,0.671,24,5.37,1,Winter
2023-01-07,MTR-002,93.6437,3.9018,6.2864,1.0776,24,5.37,1,Winter
2023-01-07,MTR-003,140.3574,5.8482,9.2453,2.0101,24,5.37,1,Winter
2023-01-07,MTR-004,56.5127,2.3547,3.6565,0.7478,24,5.37,1,Winter
2023-01-07,MTR-005,91.8203,3.8258,6.7531,1.2358,24,5.37,1,Winter
2023-01-07,MTR-006,141.4092,5.8921,10.0789,1.8367,24,5.37,1,Winter
2023-01-07,MTR-007,54.0464,2.2519,5.7316,0.6112,24,5.37,1,Winter
2023-01-07,MTR-008,94.8946,3.9539,6.9819,1.3763,24,5.37,1,Winter
2023-01-07,MTR-009,159.5265,6.6469,10.5721,0.646,24,5.37,1,Winter
2023-01-07,MTR-010,48.5842,2.0243,3.4018,0.6253,24,5.37,1,Winter
2023-01-07,MTR-011,83.887,3.4953,5.5331,1.0178,24,5.37,1,Winter
2023-01-07,MTR-012,142.0943,5.9206,9.5151,1.9477,24,5.37,1,Winter
2023-01-08,MTR-001,48.1652,2.0069,3.5831,0.6982,24,4.8,1,Winter
2023-01-08,MTR-002,91.4538,3.8106,6.3628,1.3927,24,4.8,1,Winter
2023-01-08,MTR-003,138.0024,5.7501,10.232,1.8161,24,4.8,1,Winter
2023-01-08,MTR-004,55.2505,2.3021,3.7769,0.7411,24,4.8,1,Winter
2023-01-08,MTR-005,91.5475,3.8145,6.7161,1.3499,24,4.8,1,Winter
2023-01-08,MTR-006,138.7613,5.7817,9.8171,1.9648,24,4.8,1,Winter
2023-01-08,MTR-007,46.279,1.9283,3.4016,0.6513,24,4.8,1,Winter
2023-01-08,MTR-008,104.7276,4.3636,13.6286,1.4106,24,4.8,1,Winter
2023-01-08,MTR-009,174.4374,7.2682,13.6005,2.4076,24,4.8,1,Winter
2023-01-08,MTR-010,48.7519,2.0313,3.4792,0.7042,24,4.8,1,Winter
2023-01-08,MTR-011,100.3391,4.1808,14.2189,1.3419,24,4.8,1,Winter
2023-01-08,MTR-012,138.7236,5.7802,10.2329,1.8817,24,4.8,1,Winter
2023-01-09,MTR-001,44.2655,1.8444,3.2686,0.6508,24,5.2,0,Winter
2023-01-09,MTR-002,129.2239,5.3843,8.6715,1.8008,24,5.2,0,Winter
2023-01-09,MTR-003,193.4062,8.0586,14.7712,2.7339,24,5.2,0,Winter
2023-01-09,MTR-004,51.3433,2.1393,3.6319,0.6647,24,5.2,0,Winter
2023-01-09,MTR-005,125.531,5.2305,9.4847,1.6867,24,5.2,0,Winter
2023-01-09,MTR-006,192.9231,8.0385,14.5638,2.6432,24,5.2,0,Winter
2023-01-09,MTR-007,45.0416,1.8767,3.2514,0.6526,24,5.2,0,Winter
2023-01-09,MTR-008,132.2788,5.5116,9.0099,1.6981,24,5.2,0,Winter
2023-01-09,MTR-009,241.3787,10.0574,17.1979,3.3098,24,5.2,0,Winter
2023-01-09,MTR-010,48.9262,2.0386,6.2081,0.6106,24,5.2,0,Winter
2023-01-09,MTR-011,118.7202,4.9467,9.3915,1.6052,24,5.2,0,Winter
2023-01-09,MTR-012,214.3786,8.9324,33.205,2.6471,24,5.2,0,Winter
2023-01-10,MTR-001,44.9028,1.871,3.1725,0.6264,24,4.68,0,Winter
2023-01-10,MTR-002,128.1191,5.3383,8.912,1.6619,24,4.68,0,Winter
2023-01-10,MTR-003,191.4137,7.9756,14.1257,2.4435,24,4.68,0,Winter
2023-01-10,MTR-004,51.2946,2.1373,3.29,0.8064,24,4.68,0,Winter
2023-01-10,MTR-005,124.2293,5.1762,8.3349,1.8217,24,4.68,0,Winter
2023-01-10,MTR-006,197.8,8.2417,13.8035,2.8033,24,4.68,0,Winter
2023-01-10,MTR-007,44.3067,1.8461,3.0582,0.593,24,4.68,0,Winter
2023-01-10,MTR-008,135.9066,5.6628,9.0088,1.7744,24,4.68,0,Winter
2023-01-10,MTR-009,238.7898,9.9496,16.5448,3.2142,24,4.68,0,Winter
2023-01-10,MTR-010,45.0004,1.875,3.1317,0.6522,24,4.68,0,Winter
2023-01-10,MTR-011,118.7188,4.9466,8.5302,1.6069,24,4.68,0,Winter
2023-01-10,MTR-012,189.1955,7.8831,13.1987,2.7262,24,4.68,0,Winter
2023-01-11,MTR-001,45.3671,1.8903,3.283,0.633,24,5.11,0,Winter
2023-01-11,MTR-002,127.1778,5.2991,9.9704,2.0024,24,5.11,0,Winter
2023-01-11,MTR-003,190.1137,7.9214,13.2338,2.4075,24,5.11,0,Winter
2023-01-11,MTR-004,51.3517,2.1397,3.4734,0.7858,24,5.11,0,Winter
