date,year,month,day,day_of_week,weekend_flag,season,month_name,day_name,quarter
2023-01-01,2023,1,1,1,1,Winter,January,Sunday,1
2023-01-02,2023,1,2,2,0,Winter,January,Monday,1
2023-01-03,2023,1,3,3,0,Winter,January,Tuesday,1
2023-01-04,2023,1,4,4,0,Winter,January,Wednesday,1
2023-01-05,2023,1,5,5,0,Winter,January,Thursday,1
2023-01-06,2023,1,6,6,0,Winter,January,Friday,1
2023-01-07,2023,1,7,7,1,Winter,January,Saturday,1
2023-01-08,2023,1,8,1,1,Winter,January,Sunday,1
2023-01-09,2023,1,9,2,0,Winter,January,Monday,1
2023-01-10,2023,1,10,3,0,Winter,January,Tuesday,1
2023-01-11,2023,1,11,4,0,Winter,January,Wednesday,1
2023-01-12,2023,1,12,5,0,Winter,January,Thursday,1
2023-01-13,2023,1,13,6,0,Winter,January,Friday,1
2023-01-14,2023,1,14,7,1,Winter,January,Saturday,1
2023-01-15,2023,1,15,1,1,Winter,January,Sunday,1
2023-01-16,2023,1,16,2,0,Winter,January,Monday,1
2023-01-17,2023,1,17,3,0,Winter,January,Tuesday,1
2023-01-18,2023,1,18,4,0,Winter,January,Wednesday,1
2023-01-19,2023,1,19,5,0,Winter,January,Thursday,1
2023-01-20,2023,1,20,6,0,Winter,January,Friday,1
2023-01-21,2023,1,21,7,1,Winter,January,Saturday,1
2023-01-22,2023,1,22,1,1,Winter,January,Sunday,1
2023-01-23,2023,1,23,2,0,Winter,January,Monday,1
2023-01-24,2023,1,24,3,0,Winter,January,Tuesday,1
2023-01-25,2023,1,25,4,0,Winter,January,Wednesday,1
2023-01-26,2023,1,26,5,0,Winter,January,Thursday,1
2023-01-27,2023,1,27,6,0,Winter,January,Friday,1
2023-01-28,2023,1,28,7,1,Winter,January,Saturday,1
2023-01-29,2023,1,29,1,1,Winter,January,Sunday,1
2023-01-30,2023,1,30,2,0,Winter,January,Monday,1
2023-01-31,2023,1,31,3,0,Winter,January,Tuesday,1
2023-02-01,2023,2,1,4,0,Winter,February,Wednesday,1
2023-02-02,2023,2,2,5,0,Winter,February,Thursday,1
2023-02-03,2023,2,3,6,0,Winter,February,Friday,1
2023-02-04,2023,2,4,7,1,Winter,February,Saturday,1
2023-02-05,2023,2,5,1,1,Winter,February,Sunday,1
2023-02-06,2023,2,6,2,0,Winter,February,Monday,1
2023-02-07,2023,2,7,3,0,Winter,February,Tuesday,1
2023-02-08,2023,2,8,4,0,Winter,February,Wednesday,1
2023-02-09,2023,2,9,5,0,Winter,February,Thursday,1
2023-02-10,2023,2,10,6,0,Winter,February,Friday,1
2023-02-11,2023,2,11,7,1,Winter,February,Saturday,1
2023-02-12,2023,2,12,1,1,Winter,February,Sunday,1
2023-02-13,2023,2,13,2,0,Winter,February,Monday,1
2023-02-14,2023,2,14,3,0,Winter,February,Tuesday,1
2023-02-15,2023,2,15,4,0,Winter,February,Wednesday,1
2023-02-16,2023,2,16,5,0,Winter,February,Thursday,1
2023-02-17,2023,2,17,6,0,Winter,February,Friday,1
2023-02-18,2023,2,18,7,1,Winter,February,Saturday,1
2023-02-19,2023,2,19,1,1,Winter,February,Sunday,1
2023-02-20,2023,2,20,2,0,Winter,February,Monday,1
2023-02-21,2023,2,21,3,0,Winter,February,Tuesday,1
2023-02-22,2023,2,22,4,0,Winter,February,Wednesday,1
2023-02-23,2023,2,23,5,0,Winter,February,Thursday,1
2023-02-24,2023,2,24,6,0,Winter,February,Friday,1
2023-02-25,2023,2,25,7,1,Winter,February,Saturday,1
2023-02-26,2023,2,26,1,1,Winter,February,Sunday,1
