year,month,meter_id,total_consumption,avg_consumption,max_consumption,min_consumption,reading_count
2023,1,MTR-001,1451.6472,1.9511,11.7277,0.1264,744
2023,1,MTR-002,3708.3558,4.9843,27.9669,1.0738,744
2023,1,MTR-003,5469.1499,7.351,33.0468,0.2889,744
2023,1,MTR-004,1668.7378,2.2429,16.6151,0.1862,744
2023,1,MTR-005,3662.2904,4.9224,27.5247,0.07,744
2023,1,MTR-006,5581.7871,7.5024,58.6522,0.5093,744
2023,1,MTR-007,1392.5303,1.8717,8.0975,0.2347,744
2023,1,MTR-008,3726.5532,5.0088,13.6286,0.1477,744
2023,1,MTR-009,6899.9277,9.2741,52.4022,0.646,744
2023,1,MTR-010,1412.895,1.8991,8.9303,0.082,744
2023,1,MTR-011,3457.1397,4.6467,36.6232,0.1654,744
2023,1,MTR-012,5517.2039,7.4156,41.499,1.2769,744
2023,2,MTR-001,1239.5975,1.8446,10.3145,0.4846,672
2023,2,MTR-002,3161.9417,4.7053,13.9915,0.755,672
2023,2,MTR-003,4793.5632,7.1333,36.112,0.8703,672
2023,2,MTR-004,1421.1985,2.1149,13.3679,0.2569,672
2023,2,MTR-005,3146.0274,4.6816,24.1505,0.1323,672
2023,2,MTR-006,4939.8531,7.351,45.075,0.9661,672
2023,2,MTR-007,1201.6527,1.7882,7.8472,0.3289,672
2023,2,MTR-008,3263.9386,4.8571,23.9056,0.3406,672
2023,2,MTR-009,6094.7313,9.0695,60.7136,0.6027,672
2023,2,MTR-010,1228.543,1.8282,9.6231,0.1565,672
2023,2,MTR-011,2971.1397,4.4213,28.0631,0.3347,672
2023,2,MTR-012,4767.1723,7.094,48.0376,0.816,672
2023,3,MTR-001,1249.6076,1.6796,8.27,0.1326,744
2023,3,MTR-002,3328.269,4.4735,24.9639,0.5776,744
2023,3,MTR-003,4939.5556,6.6392,27.2086,0.3442,744
2023,3,MTR-004,1479.4012,1.9884,11.1241,0.1057,744
2023,3,MTR-005,3242.1734,4.3578,18.6314,0.2122,744
2023,3,MTR-006,5035.9705,6.7688,31.7162,0.3858,744
2023,3,MTR-007,1247.9757,1.6774,9.1953,0.1406,744
