date,tariff_period,total_consumption,avg_consumption,reading_count
2023-01-01,off_peak,556.3037,3.0906,180
2023-01-01,peak,584.5646,5.4126,108
2023-01-02,off_peak,749.1251,4.1618,180
2023-01-02,peak,778.1044,7.2047,108
2023-01-03,off_peak,794.8887,4.416,180
2023-01-03,peak,764.0559,7.0746,108
2023-01-04,off_peak,755.8753,4.1993,180
2023-01-04,peak,778.7885,7.211,108
2023-01-05,off_peak,728.0973,4.045,180
2023-01-05,peak,815.0605,7.5469,108
2023-01-06,off_peak,763.4566,4.2414,180
2023-01-06,peak,766.8126,7.1001,108
2023-01-07,off_peak,585.4703,3.2526,180
2023-01-07,peak,575.7329,5.3309,108
2023-01-08,off_peak,585.3419,3.2519,180
2023-01-08,peak,591.0974,5.4731,108
2023-01-09,off_peak,758.567,4.2143,180
2023-01-09,peak,778.8501,7.2116,108
2023-01-10,off_peak,741.4262,4.119,180
2023-01-10,peak,768.2511,7.1134,108
2023-01-11,off_peak,746.8467,4.1491,180
2023-01-11,peak,767.6938,7.1083,108
2023-01-12,off_peak,756.841,4.2047,180
2023-01-12,peak,814.6406,7.543,108
2023-01-13,off_peak,730.3783,4.0577,180
2023-01-13,peak,762.0296,7.0558,108
2023-01-14,off_peak,573.1272,3.184,180
2023-01-14,peak,627.046,5.806,108
2023-01-15,off_peak,569.9276,3.1663,180
2023-01-15,peak,588.9684,5.4534,108
2023-01-16,off_peak,782.0627,4.3448,180
2023-01-16,peak,756.9066,7.0084,108
2023-01-17,off_peak,742.1275,4.1229,180
2023-01-17,peak,811.3157,7.5122,108
2023-01-18,off_peak,742.8764,4.1271,180
2023-01-18,peak,770.1781,7.1313,108
2023-01-19,off_peak,744.7968,4.1378,180
2023-01-19,peak,762.7333,7.0623,108
2023-01-20,off_peak,776.6169,4.3145,180
2023-01-20,peak,732.3516,6.781,108
2023-01-21,off_peak,576.9054,3.205,180
2023-01-21,peak,580.7119,5.377,108
2023-01-22,off_peak,580.6954,3.2261,180
2023-01-22,peak,591.9592,5.4811,108
2023-01-23,off_peak,734.714,4.0817,180
2023-01-23,peak,766.8534,7.1005,108
2023-01-24,off_peak,737.549,4.0975,180
2023-01-24,peak,763.536,7.0698,108
2023-01-25,off_peak,738.4067,4.1023,180
2023-01-25,peak,792.1257,7.3345,108
2023-01-26,off_peak,756.1765,4.201,180
2023-01-26,peak,757.3918,7.0129,108
2023-01-27,off_peak,723.5945,4.02,180
2023-01-27,peak,747.7739,6.9238,108
2023-01-28,off_peak,554.9551,3.0831,180
2023-01-28,peak,583.1685,5.3997,108
2023-01-29,off_peak,567.0403,3.1502,180
2023-01-29,peak,585.0611,5.4172,108
2023-01-30,off_peak,738.9128,4.1051,180
2023-01-30,peak,812.7599,7.5256,108
2023-01-31,off_peak,734.3186,4.0795,180
2023-01-31,peak,744.2736,6.8914,108
2023-02-01,off_peak,730.7699,4.0598,180
2023-02-01,peak,733.8052,6.7945,108
2023-02-02,off_peak,724.4812,4.0249,180
2023-02-02,peak,768.8445,7.1189,108
2023-02-03,off_peak,748.1855,4.1566,180
2023-02-03,peak,783.6826,7.2563,108
2023-02-04,off_peak,543.1349,3.0174,180
2023-02-04,peak,575.0077,5.3241,108
2023-02-05,off_peak,556.1951,3.09,180
2023-02-05,peak,626.6479,5.8023,108
2023-02-06,off_peak,737.9436,4.0997,180
2023-02-06,peak,764.4627,7.0784,108
2023-02-07,off_peak,731.9323,4.0663,180
2023-02-07,peak,728.3334,6.7438,108
2023-02-08,off_peak,719.1641,3.9954,180
2023-02-08,peak,787.137,7.2883,108
2023-02-09,off_peak,752.8729,4.1826,180
2023-02-09,peak,769.7887,7.1277,108
2023-02-10,off_peak,714.1836,3.9677,180
2023-02-10,peak,773.2401,7.1596,108
2023-02-11,off_peak,553.8512,3.077,180
2023-02-11,peak,561.3796,5.198,108
2023-02-12,off_peak,538.8988,2.9939,180
2023-02-12,peak,590.6866,5.4693,108
2023-02-13,off_peak,729.112,4.0506,180
2023-02-13,peak,733.1601,6.7885,108
2023-02-14,off_peak,706.496,3.925,180
2023-02-14,peak,716.4618,6.6339,108
2023-02-15,off_peak,712.5655,3.9587,180
2023-02-15,peak,743.5976,6.8852,108
2023-02-16,off_peak,695.5795,3.8643,180
2023-02-16,peak,740.8879,6.8601,108
2023-02-17,off_peak,710.4178,3.9468,180
2023-02-17,peak,740.6319,6.8577,108
2023-02-18,off_peak,547.8951,3.0439,180
2023-02-18,peak,555.9984,5.1481,108
2023-02-19,off_peak,537.6164,2.9868,180
2023-02-19,peak,572.9361,5.305,108
2023-02-20,off_peak,703.4371,3.908,180
2023-02-20,peak,742.6396,6.8763,108
2023-02-21,off_peak,725.1845,4.0288,180
2023-02-21,peak,720.9369,6.6753,108
2023-02-22,off_peak,743.211,4.1289,180
2023-02-22,peak,740.5688,6.8571,108
2023-02-23,off_peak,703.8224,3.9101,180
2023-02-23,peak,719.0138,6.6575,108
2023-02-24,off_peak,684.3336,3.8019,180
2023-02-24,peak,716.9956,6.6388,108
2023-02-25,off_peak,525.8728,2.9215,180
2023-02-25,peak,562.2789,5.2063,108
2023-02-26,off_peak,536.5327,2.9807,180
2023-02-26,peak,570.9136,5.2862,108
2023-02-27,off_peak,687.9789,3.8221,180
2023-02-27,peak,750.8055,6.9519,108
2023-02-28,off_peak,698.8505,3.8825,180
2023-02-28,peak,737.9976,6.8333,108
2023-03-01,off_peak,677.2123,3.7623,180
2023-03-01,peak,741.0098,6.8612,108
2023-03-02,off_peak,686.9488,3.8164,180
2023-03-02,peak,704.2529,6.5209,108
2023-03-03,off_peak,685.8371,3.8102,180
2023-03-03,peak,688.1866,6.3721,108
2023-03-04,off_peak,562.081,3.1227,180
2023-03-04,peak,543.7196,5.0344,108
2023-03-05,off_peak,513.3412,2.8519,180
2023-03-05,peak,534.1944,4.9462,108
2023-03-06,off_peak,673.5426,3.7419,180
2023-03-06,peak,698.6565,6.469,108
