date,weather_condition,temperature_band,avg_temperature,avg_humidity,total_consumption,avg_consumption,reading_count
2023-01-01,Clear,Very Cold,3.23,87.02,145.6197,4.045,36
2023-01-01,Clear,Cold,7.36,75.04,235.7945,4.9124,48
2023-01-01,Cloudy,Very Cold,0.67,87.46,149.4525,3.1136,48
2023-01-01,Cloudy,Cold,9.04,76.51,162.7845,4.5218,36
2023-01-01,Fog,Cold,9.86,76.38,116.2055,4.8419,24
2023-01-01,Fog,Very Cold,3.48,75.91,20.1819,1.6818,12
2023-01-01,Rain,Cold,7.77,85.35,161.7032,4.4918,36
2023-01-01,Snow,Very Cold,0.34,84.06,37.0355,1.5431,24
2023-01-01,Snow,Cold,5.08,71.46,67.8378,5.6532,12
2023-01-01,Storm,Cold,8.3,80.61,44.2532,3.6878,12
2023-01-02,Clear,Very Cold,4.04,74.19,83.9074,6.9923,12
2023-01-02,Clear,Cold,7.52,80.21,192.3151,5.3421,36
2023-01-02,Cloudy,Very Cold,1.7,85.27,156.6175,2.6103,60
2023-01-02,Cloudy,Cold,6.09,90.85,82.8274,6.9023,12
2023-01-02,Fog,Very Cold,1.93,82.79,174.2274,4.8397,36
2023-01-02,Fog,Cold,9.13,82.51,422.2978,7.0383,60
2023-01-02,Rain,Very Cold,2.69,86.0,82.836,6.903,12
2023-01-02,Rain,Cold,7.16,88.07,169.0312,7.043,24
2023-01-02,Snow,Very Cold,3.29,85.75,80.9502,3.3729,24
2023-01-02,Storm,Cold,7.86,69.91,82.2195,6.8516,12
2023-01-03,Clear,Cold,7.99,82.19,463.8458,6.4423,72
2023-01-03,Clear,Very Cold,3.99,79.27,84.8973,7.0748,12
2023-01-03,Cloudy,Cold,7.04,75.91,140.3688,5.8487,24
2023-01-03,Cloudy,Very Cold,0.55,87.43,111.6465,3.1013,36
2023-01-03,Fog,Very Cold,0.97,83.68,21.8149,1.8179,12
2023-01-03,Rain,Very Cold,3.27,76.17,24.8836,2.0736,12
2023-01-03,Rain,Cold,8.21,80.54,242.2774,6.7299,36
2023-01-03,Snow,Cold,5.6,79.46,78.0,6.5,12
2023-01-03,Snow,Very Cold,-1.05,87.74,137.7259,3.8257,36
2023-01-03,Storm,Very Cold,3.94,86.19,120.7268,5.0303,24
2023-01-03,Storm,Cold,9.31,77.12,132.7576,11.0631,12
2023-01-04,Clear,Cold,6.89,71.09,143.9847,5.9994,24
2023-01-04,Clear,Very Cold,4.39,75.15,84.196,7.0163,12
2023-01-04,Cloudy,Cold,9.07,78.26,198.1898,5.5053,36
2023-01-04,Cloudy,Very Cold,1.03,82.58,201.3944,4.1957,48
