year,week_of_year,meter_id,total_consumption,avg_consumption,reading_count
2023,1,MTR-001,331.0758,1.9707,168
2023,1,MTR-002,843.2847,5.0196,168
2023,1,MTR-003,1245.6353,7.4145,168
2023,1,MTR-004,384.2676,2.2873,168
2023,1,MTR-005,857.6921,5.1053,168
2023,1,MTR-006,1271.0801,7.566,168
2023,1,MTR-007,324.0157,1.9287,168
2023,1,MTR-008,853.1094,5.078,168
2023,1,MTR-009,1567.5379,9.3306,168
2023,1,MTR-010,320.0927,1.9053,168
2023,1,MTR-011,774.0577,4.6075,168
2023,1,MTR-012,1260.0583,7.5003,168
2023,2,MTR-001,319.5044,1.9018,168
2023,2,MTR-002,826.5856,4.9202,168
2023,2,MTR-003,1228.8219,7.3144,168
2023,2,MTR-004,387.5829,2.307,168
2023,2,MTR-005,810.2263,4.8228,168
2023,2,MTR-006,1304.9385,7.7675,168
2023,2,MTR-007,309.0978,1.8399,168
2023,2,MTR-008,854.8694,5.0885,168
2023,2,MTR-009,1529.3886,9.1035,168
2023,2,MTR-010,323.2175,1.9239,168
2023,2,MTR-011,803.423,4.7823,168
2023,2,MTR-012,1286.9377,7.6603,168
2023,3,MTR-001,328.5132,1.9554,168
2023,3,MTR-002,850.738,5.0639,168
2023,3,MTR-003,1250.7047,7.4447,168
2023,3,MTR-004,375.9045,2.2375,168
2023,3,MTR-005,828.3389,4.9306,168
2023,3,MTR-006,1248.073,7.429,168
2023,3,MTR-007,322.0813,1.9172,168
2023,3,MTR-008,842.0112,5.012,168
2023,3,MTR-009,1604.1824,9.5487,168
2023,3,MTR-010,320.6017,1.9083,168
2023,3,MTR-011,764.1371,4.5484,168
2023,3,MTR-012,1216.9515,7.2438,168
2023,4,MTR-001,324.7643,1.9331,168
2023,4,MTR-002,833.2158,4.9596,168
2023,4,MTR-003,1232.0739,7.3338,168
2023,4,MTR-004,365.9064,2.178,168
2023,4,MTR-005,819.007,4.875,168
2023,4,MTR-006,1238.3458,7.3711,168
2023,4,MTR-007,307.8319,1.8323,168
2023,4,MTR-008,824.1518,4.9057,168
2023,4,MTR-009,1550.3443,9.2282,168
2023,4,MTR-010,316.5384,1.8842,168
2023,4,MTR-011,752.8076,4.481,168
2023,4,MTR-012,1243.3593,7.4009,168
2023,5,MTR-001,329.5714,1.9617,168
2023,5,MTR-002,821.1174,4.8876,168
2023,5,MTR-003,1196.6146,7.1227,168
2023,5,MTR-004,362.3408,2.1568,168
2023,5,MTR-005,814.8638,4.8504,168
2023,5,MTR-006,1252.0483,7.4527,168
2023,5,MTR-007,302.8407,1.8026,168
2023,5,MTR-008,841.1306,5.0067,168
2023,5,MTR-009,1553.7215,9.2483,168
2023,5,MTR-010,312.8895,1.8624,168
2023,5,MTR-011,820.3778,4.8832,168
2023,5,MTR-012,1213.503,7.2232,168
2023,6,MTR-001,319.8138,1.9037,168
2023,6,MTR-002,804.1459,4.7866,168
2023,6,MTR-003,1228.4948,7.3125,168
2023,6,MTR-004,356.1617,2.12,168
2023,6,MTR-005,786.075,4.679,168
2023,6,MTR-006,1321.0135,7.8632,168
2023,6,MTR-007,307.6945,1.8315,168
2023,6,MTR-008,818.5667,4.8724,168
2023,6,MTR-009,1499.1076,8.9233,168
2023,6,MTR-010,312.9756,1.863,168
2023,6,MTR-011,747.4059,4.4488,168
2023,6,MTR-012,1222.4196,7.2763,168
2023,7,MTR-001,304.2902,1.8113,168
2023,7,MTR-002,783.5404,4.6639,168
2023,7,MTR-003,1195.7612,7.1176,168
2023,7,MTR-004,359.7955,2.1416,168
2023,7,MTR-005,789.3239,4.6984,168
2023,7,MTR-006,1200.2249,7.1442,168
2023,7,MTR-007,302.7367,1.802,168
2023,7,MTR-008,809.5401,4.8187,168
2023,7,MTR-009,1463.5121,8.7114,168
2023,7,MTR-010,311.4653,1.854,168
